			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Name	Abbreviated Name	Level	Earth	Water	Fire	Air	None	Basic	Advanced	Expert	Power 	None	Basic	Advanced	Expert	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Conflux	None	Basic	Advanced	Expert	Normal	Basic	Advanced	Expert	"Attributes (reference only, do not change)"
																																	
Adventure Spells																																	
																																	
Summon Boat	Triệu Hồi Thuyền	1	 	x	 	 	8	7	7	7	0	50	50	75	100	3	5	5	5	3	5	5	3	3	10	10	20	20	"{Triệu Hồi Thuyền}

Triệu hồi một chiếc thuyền có sẵn, của đồng minh hoặc thuyền không bị sử dụng từ bất kì nơi nào trên thế giới, hiện lên ngay vị trí của bạn.

Khả năng thành công là 50%.
"	"{Triệu Hồi Thuyền Sơ Cấp}

Triệu hồi một chiếc thuyền có sẵn, của đồng minh hoặc thuyền không bị sử dụng từ bất kì nơi nào trên thế giới, hiện lên ngay vị trí của bạn.

Khả năng thành công là 50%.
"	"{Triệu Hồi Thuyền Thứ Cấp}

Triệu hồi một chiếc thuyền có sẵn, của đồng minh hoặc thuyền không bị sử dụng từ bất kì nơi nào trên thế giới, hiện lên ngay vị trí của bạn. Nếu không có thuyền thì một chiếc mới sẽ được tạo ra.

Khả năng thành công là 75%.
"	"{Triệu Hồi Thuyền Cao Cấp}

Triệu hồi một chiếc thuyền có sẵn, của đồng minh hoặc thuyền không bị sử dụng từ bất kì nơi nào trên thế giới, hiện lên ngay vị trí của bạn. Nếu không có thuyền thì một chiếc mới sẽ được tạo ra.
"	 ADV_SPELL
Scuttle Boat	Phá Thuyền	2	 	x	 	 	8	6	6	6	0	50	50	75	100	6	4	4	4	4	4	4	4	4	1	1	1	1	"{Phá Thuyền}

Phá hủy thuyền của bạn. Hãy sử dụng nó cẩn thận, tác dụng của nó là vĩnh viễn.

Khả năng thành công là 50%.
"	"{Phá Thuyền Sơ Cấp}

Phá hủy thuyền của bạn. Hãy sử dụng nó cẩn thận, tác dụng của nó là vĩnh viễn.

Khả năng thành công là 50%.
"	"{Phá Thuyền Thứ Cấp}

Phá hủy thuyền của bạn. Hãy sử dụng nó cẩn thận, tác dụng của nó là vĩnh viễn.

Khả năng thành công là 75%.
"	"{Phá Thuyền Cao Cấp}

Phá hủy thuyền của bạn. Hãy sử dụng nó cẩn thận, tác dụng của nó là vĩnh viễn.
"	 ADV_SPELL
Visions	Thấu Thị	2	x	x	x	x	4	2	2	2	0	1	1	2	3	2	2	2	4	2	2	2	2	2	1	1	1	1	"{Thấu Thị}

Giúp cho bạn hình dung được cơ bản về sức mạnh của đội hình quân địch, các tướng và quân ở tiền đồn.
"	"{Thấu Thị Sơ Câp}

Giúp cho bạn hình dung được cơ bản về sức mạnh của đội hình tướng địch hoặc các quân ở tiền đồn. Trong trường hợp đối đầu với những quái vật vô chủ thì sẽ cho bạn biết chính xác quân số và chúng có ỳ định quy phục quân ta hay không.
"	"{Thấu Thị Thứ Cấp}

Giúp cho bạn hình dung được cơ bản về sức mạnh của đội hình quân địch. Trong trường hợp đối đầu với những quái vật vô chủ thì sẽ cho bạn biết chính xác quân số và chúng có ỳ định quy phục quân ta hay không. Ngoài ra còn cho phép bạn thấy được những kỹ năng cơ bản của tướng địch cũng như thống kê số lượng các loại quân, như thể tướng đó là một phần vương quốc của bạn.
"	"{Thấu Thị Cao Cấp}

Giúp cho bạn nhìn thấy được chính xác quân số của những quái vật vô chủ và chúng có ỳ định quy phục quân ta hay không. Cho phép bạn thấy được những kỹ năng cơ bản của tướng địch, số lượng các loại quân, như thể tướng đó là một phần vương quốc của bạn cũng như thống kê các thành gần đó bao gồm loại quân canh giữ và số lượng của chúng.
"	 ADV_SPELL
View Earth	Địa Thị	1	x				2	1	1	1	0	0	0	0	0	3	3	3	3	3	3	3	3	3	1	1	1	1	"{Địa Thị}

Làm lộ ra vị trí của tất cả các tài nguyên cho người triển khai phép thuật.
"	"{Địa Thị Sơ Cấp}

Làm lộ ra vị trí của tất cả các tài nguyên cho người triển khai phép thuật.
"	"{Địa Thị Thứ Cấp }

Làm lộ ra vị trí của tất cả các tài nguyên và các mỏ cho người triển khai phép thuật.
"	"{Địa Thị Cao Cấp}

Làm lộ ra vị trí của tất cả các tài nguyên và các mỏ cũng như địa hình cho người triển khai phép thuật.
"	 ADV_SPELL
Disguise	Ngụy Trang	2	 	 	 	x	4	2	2	2	0	0	0	0	0	2	2	2	4	2	2	2	0	2	1	1	1	1	"{Ngụy Trang}

Đưa ra thông tin giả cho những quân địch nào muốn tìm cách xem thông tin về tướng của bạn. 
"	"{Ngụy Trang Sơ Cấp}

Làm cho tất cả các đơn vị trong quân đội của bạn có hình dáng giống như đơn vị quân mạnh nhất của bạn, gây khó khăn cho quân địch khi xem thông tin về tướng của bạn. Số lượng quân trong mỗi nhóm không thay đổi.
"	"{Ngụy Trang Thứ Cấp}

Làm cho tất cả các đơn vị trong quân đội của bạn có hình dáng giống như đơn vị quân mạnh nhất của bạn, gây khó khăn cho quân địch khi xem thông tin về tướng của bạn. Số lượng quân trong mỗi nhóm hiện ra là số không.
"	"{Ngụy Trang Cao Cấp}

Làm cho tất cả các đơn vị trong quân đội của bạn có hình dáng giống như đơn vị quân mạnh nhất đang sáp nhập với tướng của bạn, gây khó khăn cho quân địch khi xem thông tin về tướng của bạn. Số lượng quân trong mỗi nhóm hiện ra là số không.
"	 ADV_SPELL
View Air	Phong Thị	1				x	2	1	1	1	0	0	0	0	0	3	3	3	3	3	3	3	3	3	1	1	1	1	"{Phong Thị}

Làm lộ ra vị trí của tất cả các báu vật cho người triển khai phép thuật.
"	"{Phong Thị Sơ Cấp}

Làm lộ ra vị trí của tất cả các báu vật cho người triển khai phép thuật.
"	"{Phong Thị Thứ Cấp}

Làm lộ ra vị trí của tất cả các báu vật và các tướng quân địch cho người triển khai phép thuật.
"	"{Phong Thị Cao Cấp}

Làm lộ ra vị trí của tất cả các báu vật và các tướng cũng như thành trì của quân địch cho người triển khai phép thuật.
"	 ADV_SPELL
